name,NSE_code,BSE_code,sector,industry,operating_expenses,operating_profit,operating_profit_margin,depreciation,interest,profit_before_tax,tax,net_profit,EPS,profit_TTM,EPS_TTM
V-Mart Retail Ltd.,VMART,534976,RETAILING,DEPARTMENT STORES,548.80,0.70,0.00,53.20,35.90,-86.40,-22.30,-64.10,-32.40,-103.10,-52.10
Nippon Life India Asset Management Ltd.,NAM-INDIA,540767,BANKING AND FINANCE,ASSET MANAGEMENT COS.,156.10,241.40,0.61,45329.00,45474.00,310.40,66.10,244.40,45538.00,883.30,45305.00
Grindwell Norton Ltd.,GRINDWELL,506076,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,536.00,131.40,0.20,45551.00,45505.00,135.30,33.10,101.90,45331.00,378.30,34.20
HDFC Life Insurance Company Ltd.,HDFCLIFE,540777,BANKING AND FINANCE,LIFE INSURANCE,23659.30,-508.10,-0.02,0.00,0.00,-373.10,-657.50,378.20,45505.00,1472.80,45541.00
Elgi Equipments Ltd.,ELGIEQUIP,522074,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,663.40,142.70,0.18,45491.00,45449.00,129.20,38.80,91.30,45537.00,401.90,45485.00
Hindustan Aeronautics Ltd.,HAL,541154,GENERAL INDUSTRIALS,DEFENCE,4108.10,1527.60,0.27,349.60,0.30,1647.00,414.80,1236.70,45430.00,6037.30,90.30
BSE Ltd.,BSE,BSE,BANKING AND FINANCE,EXCHANGE,172.80,189.20,0.52,45495.00,45420.00,163.00,63.60,120.50,45512.00,706.00,52.10
Rites Ltd.,RITES,541556,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,444.50,137.80,0.24,45305.00,45383.00,148.80,40.10,101.20,45326.00,488.10,45371.00
Fortis Healthcare Ltd.,FORTIS,532843,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE FACILITIES,1439.80,330.20,0.19,84.10,45535.00,231.40,48.80,173.70,45353.00,547.60,45358.00
Varroc Engineering Ltd.,VARROC,541578,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,1692.60,194.30,0.10,84.90,50.30,65.90,45340.00,54.20,45415.00,146.50,45452.00
Adani Green Energy Ltd.,ADANIGREEN,ASM,UTILITIES,ELECTRIC UTILITIES,521.00,1699.00,0.77,474.00,1165.00,413.00,119.00,372.00,45324.00,1305.00,45330.00
